,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
110,1258286717125.0,105.8,40.2,11.0,Mexico City,75.0,33.0,0.49,,41.4,2.38,126014024.0,60.7,13.1,55.1,3.42,"102,626,859",Mexico,23.634501,-102.552784,America
111,401932279.0,97.2,14.1,25.6,Palikir,67.8,88.0,,English,2.5,0.18,113815.0,,25.2,60.5,,"25,963",Federated States of Micronesia,7.425554,150.550812,Asia
112,11955435457.0,90.6,39.8,13.6,Chi����,71.8,19.0,0.31,Romanian,46.2,3.21,2657637.0,43.1,17.7,38.7,5.47,"1,135,502",Moldova,47.411631,28.369885,Europa
113,7184844193.0,,,2.6,Monaco City,,,11.72,French,6.1,6.56,38964.0,,,,,"38,964",Monaco,43.7384176,7.4246158,Europa
114,13852850259.0,104.0,65.6,14.0,Ulaanbaatar,69.7,45.0,0.65,Mongolian,39.3,2.86,3225167.0,59.7,16.8,25.7,6.01,"2,210,626",Mongolia,46.862496,103.846656,Asia
115,5494736901.0,100.0,56.1,2.3,Podgorica,76.8,6.0,1.23,Montenegrin language,31.8,2.76,622137.0,54.4,,22.2,14.88,"417,765",Montenegro,42.708678,19.37439,Europa
116,118725279596.0,113.9,35.9,19.2,Casablanca,76.5,70.0,1.6,Arabic,53.1,0.73,36910560.0,45.3,21.9,45.8,9.02,"22,975,026",Morocco,31.791702,-7.09262,Asia
117,14934159926.0,112.6,7.3,54.0,Maputo,60.2,289.0,0.27,Portuguese,6.8,0.08,30366036.0,78.1,0.0,36.1,3.24,"11,092,106",Mozambique,-18.665695,35.529562,Africa
118,76085852617.0,112.3,18.8,36.8,Yangon,66.9,250.0,0.39,Burmese,73.9,0.68,54045420.0,61.7,5.4,31.2,1.58,"16,674,093",Myanmar,21.916221,95.955974,Asia
119,12366527719.0,124.2,22.9,29.0,Windhoek,63.4,195.0,,English,8.3,0.42,2494530.0,59.5,27.1,20.7,20.27,"1,273,258",Namibia,-22.95764,18.49041,Africa
120,133000000.0,,,,,,,,English,,,10084.0,,,,,,Nauru,-0.522778,166.931503,Asia
121,30641380604.0,142.1,12.4,26.7,Kathmandu,70.5,186.0,0.36,Nepali,60.4,0.75,28608710.0,83.8,20.7,41.8,1.41,"5,765,513",Nepal,28.394857,84.124008,Asia
122,909070395161.0,104.2,85.0,3.3,Amsterdam,81.8,5.0,10.29,Dutch,12.3,3.61,17332850.0,63.6,23.0,41.2,3.2,"15,924,729",Netherlands,52.132633,5.291266,Europa
